Date,State,Petrol_Rate,Prev_Petrol,Change_Rate,Source
2026-06-12,Andhra Pradesh,117.48,117.48,0,https://www.goodreturns.in/petrol-price-in-andhra-pradesh-s2.html
2026-06-12,Arunachal Pradesh,97.81,97.81,0,https://www.goodreturns.in/petrol-price-in-arunachal-pradesh-s3.html
2026-06-12,Assam,105.79,105.79,0,https://www.goodreturns.in/petrol-price-in-assam-s4.html
2026-06-12,Bihar,114.24,114.24,0,https://www.goodreturns.in/petrol-price-in-bihar-s5.html
2026-06-12,Chhattisgarh,101.54,101.54,0,https://www.goodreturns.in/petrol-price-in-chhattisgarh-s6.html
2026-06-12,Delhi,96.72,96.72,0,https://www.goodreturns.in/petrol-price-in-delhi-s10.html
2026-06-12,Goa,108.06,108.06,0,https://www.goodreturns.in/petrol-price-in-goa-s7.html
2026-06-12,Gujarat,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-gujarat-s8.html
2026-06-12,Haryana,99.5,99.5,0,https://www.goodreturns.in/petrol-price-in-haryana-s9.html
2026-06-12,Himachal Pradesh,104.19,104.19,0,https://www.goodreturns.in/petrol-price-in-himachal-pradesh-s11.html
2026-06-12,Jammu & Kashmir,101.96,101.96,0,https://www.goodreturns.in/petrol-price-in-jammu-kashmir-s12.html
2026-06-12,Jharkhand,103.28,103.28,0,https://www.goodreturns.in/petrol-price-in-jharkhand-s13.html
2026-06-12,Karnataka,102.55,102.55,0,https://www.goodreturns.in/petrol-price-in-karnataka-s14.html
2026-06-12,Kerala,104.13,104.13,0,https://www.goodreturns.in/petrol-price-in-kerala-s15.html
2026-06-12,Madhya Pradesh,105.26,105.26,0,https://www.goodreturns.in/petrol-price-in-madhya-pradesh-s16.html
2026-06-12,Maharashtra,102.86,102.86,0,https://www.goodreturns.in/petrol-price-in-maharashtra-s17.html
2026-06-12,Manipur,115.49,115.49,0,https://www.goodreturns.in/petrol-price-in-manipur-s18.html
2026-06-12,Meghalaya,114.45,114.45,0,https://www.goodreturns.in/petrol-price-in-meghalaya-s19.html
2026-06-12,Mizoram,111.18,111.18,0,https://www.goodreturns.in/petrol-price-in-mizoram-s20.html
2026-06-12,Nagaland,106.95,106.95,0,https://www.goodreturns.in/petrol-price-in-nagaland-s21.html
2026-06-12,Odisha,102.59,102.59,0,https://www.goodreturns.in/petrol-price-in-odisha-s22.html
2026-06-12,Punjab,105.52,105.52,0,https://www.goodreturns.in/petrol-price-in-punjab-s23.html
2026-06-12,Rajasthan,103.96,103.96,0,https://www.goodreturns.in/petrol-price-in-rajasthan-s24.html
2026-06-12,Sikkim,108.89,108.89,0,https://www.goodreturns.in/petrol-price-in-sikkim-s25.html
2026-06-12,Tamil Nadu,103.65,103.65,0,https://www.goodreturns.in/petrol-price-in-tamil-nadu-s26.html
2026-06-12,Telangana,105.56,105.56,0,https://www.goodreturns.in/petrol-price-in-telangana-s27.html
2026-06-12,Tripura,113.15,113.15,0,https://www.goodreturns.in/petrol-price-in-tripura-s28.html
2026-06-12,Uttar Pradesh,110.95,110.95,0,https://www.goodreturns.in/petrol-price-in-uttar-pradesh-s29.html
2026-06-12,Uttarakhand,100.85,100.85,0,https://www.goodreturns.in/petrol-price-in-uttarakhand-s30.html
